year,region,activity,product,property,value,unit
2015,"World",no_by-product_recovery,"electricity","def",0.121,"GJ/t"
2015,"World",no_by-product_recovery,"electricity","min",0.1089,"GJ/t"
2015,"World",no_by-product_recovery,"electricity","max",0.1331,"GJ/t"
2015,"World",no_by-product_recovery,"electricity","abs_min",0.0,"GJ/t"
2015,"World",no_by-product_recovery,"electricity","abs_max",inf,"GJ/t"
2015,"World",by-product_recovery,"electricity","def",0.121,"GJ/t"
2015,"World",by-product_recovery,"electricity","min",0.1089,"GJ/t"
2015,"World",by-product_recovery,"electricity","max",0.1331,"GJ/t"
2015,"World",by-product_recovery,"electricity","abs_min",0.0,"GJ/t"
2015,"World",by-product_recovery,"electricity","abs_max",inf,"GJ/t"