date,media_highway
2020-01-07,13020.0
2020-01-14,19379.0
2020-01-21,19684.0
2020-01-28,19781.0
2020-02-04,19597.0
2020-02-11,19199.0
2020-02-18,19570.0
2020-02-25,18950.0
2020-03-03,17372.0
2020-03-10,17169.0
2020-03-17,10592.0
2020-03-24,5653.0
2020-03-31,6250.0
2020-04-07,6800.0
2020-04-14,6262.0
2020-04-21,8460.0
2020-04-28,10303.0
2020-05-05,9672.0
2020-05-12,12629.0
2020-05-19,13512.0
2020-05-26,12433.0
2020-06-02,13656.0
2020-06-09,16387.0
2020-06-16,16327.0
2020-06-23,18362.0
2020-06-30,16749.0
2020-07-07,17989.0
2020-07-14,17946.0
2020-07-21,18130.0
2020-07-28,18204.0
2020-08-04,17315.0
2020-08-11,15517.0
2020-08-18,14172.0
2020-08-25,16445.0
2020-09-01,18126.0
2020-09-08,19104.0
2020-09-15,19224.0
2020-09-22,19454.0
2020-09-29,19619.0
2020-10-06,19595.0
2020-10-13,20196.0
2020-10-20,19229.0
2020-10-27,17936.0
2020-11-03,17481.0
2020-11-10,15268.0
2020-11-17,14408.0
2020-11-24,14787.0
2020-12-01,15308.0
2020-12-08,13857.0
2020-12-15,14283.0
2020-12-22,16165.0
2020-12-29,9134.0
2021-01-07,6786.0
2021-01-14,13960.0
2021-01-21,14283.0
2021-01-28,13841.0
2021-02-04,14239.0
2021-02-11,14210.0
2021-02-18,14264.0
2021-02-25,14408.0
2021-03-04,15169.0
2021-03-11,15091.0
2021-03-18,15250.0
2021-03-25,13901.0
2021-04-01,15499.0
2021-04-08,12996.0
2021-04-15,15636.0
2021-04-22,16095.0
2021-04-29,16568.0
2021-05-06,16145.0
2021-05-13,16899.0
2021-05-20,14842.0
2021-05-27,15841.0
2021-06-03,17605.0
2021-06-10,16826.0
2021-06-17,18869.0
2021-06-24,21368.0
2021-07-01,25295.0
2021-07-08,28531.0
2021-07-15,26759.0
2021-07-22,32165.0
2021-07-29,32615.0
2021-08-05,29258.0
2021-08-12,32084.0
2021-08-19,31619.0
2021-08-26,31800.0
2021-09-02,32180.0
2021-09-09,30290.0
2021-09-16,28123.0
2021-09-23,28586.0
2021-09-30,27564.0
2021-10-07,24877.0
2021-10-14,29202.0
2021-10-21,28674.0
2021-10-28,26578.0
2021-11-04,23554.0
2021-11-11,23411.0
2021-11-18,19313.0
2021-11-25,19331.0
2021-12-02,19469.0
2021-12-09,17555.0
2021-12-16,19203.0
2021-12-23,19635.0
2021-12-30,13488.0
2022-01-07,10993.0
2022-01-14,15576.0
2022-01-21,17322.0
2022-01-28,15264.0
2022-02-04,14383.0
2022-02-11,14797.0
2022-02-18,11897.0
2022-02-25,16094.0
2022-03-04,16991.0
2022-03-11,16610.0
2022-03-18,18579.0
2022-03-25,17432.0
2022-04-01,17257.0
2022-04-08,16430.0
2022-04-15,21117.0
2022-04-22,22734.0
2022-04-29,19353.0
2022-05-06,17579.0
2022-05-13,18256.0
2022-05-20,19127.0
2022-05-27,21463.0
2022-06-03,21050.0
2022-06-10,22940.0
2022-06-17,23091.0
2022-06-24,22397.0
2022-07-01,21013.0
2022-07-08,21902.0
2022-07-15,23990.0
2022-07-22,26667.0
2022-07-29,27362.0
2022-08-05,27900.0
2022-08-12,25969.0
2022-08-19,25518.0
2022-08-26,25034.0
2022-09-02,24116.0
2022-09-09,23565.0
2022-09-16,23452.0
2022-09-23,21053.0
2022-09-30,20625.0
2022-10-07,21985.0
2022-10-14,21249.0
2022-10-21,20401.0
2022-10-28,18649.0
2022-11-04,18871.0
2022-11-11,15745.0
2022-11-18,15501.0
2022-11-25,15329.0
2022-12-02,15324.0
2022-12-09,14704.0
2022-12-16,14883.0
2022-12-23,15977.0
2022-12-30,15352.0
2023-01-07,15527.0
2023-01-14,14827.0
2023-01-21,13954.0
2023-01-28,14140.0
2023-02-04,15098.0
2023-02-11,14988.0
2023-02-18,15797.0
2023-02-25,16091.0
2023-03-04,15922.0
2023-03-11,15486.0
2023-03-18,14790.0
2023-03-25,14180.0
2023-04-01,15154.0
2023-04-08,21971.0
2023-04-15,21678.0
2023-04-22,19981.0
2023-04-29,20547.0
2023-05-06,19586.0
2023-05-13,18330.0
2023-05-20,20239.0
2023-05-27,20620.0
2023-06-03,22352.0
2023-06-10,21946.0
2023-06-17,21701.0
2023-06-24,20916.0
2023-07-01,20675.0
2023-07-08,21351.0
2023-07-15,24362.0
2023-07-22,25635.0
2023-07-29,28106.0
2023-08-05,28100.0
2023-08-12,27416.0
2023-08-19,25992.0
2023-08-26,25643.0
2023-09-02,24542.0
2023-09-09,25556.0
2023-09-16,19123.0
2023-09-23,20935.0
2023-09-30,21028.0
2023-10-07,23054.0
2023-10-14,22015.0
2023-10-21,20104.0
2023-10-28,18184.0
2023-11-04,17508.0
2023-11-11,16996.0
2023-11-18,15918.0
2023-11-25,15675.0
2023-12-02,15959.0
2023-12-09,15691.0
2023-12-16,16471.0
2023-12-23,17572.0
2023-12-30,16626.0
2024-01-07,17731.0
2024-01-14,15054.0
2024-01-21,14918.0
2024-01-28,15542.0
2024-02-04,15995.0
2024-02-11,15686.0
2024-02-18,16662.0
2024-02-25,16799.0
2024-03-03,15875.0
2024-03-10,16324.0
2024-03-17,17303.0
2024-03-24,18392.0
2024-03-31,19685.0
2024-04-07,20293.0
2024-04-14,20099.0
2024-04-21,19946.0
2024-04-28,19878.0
2024-05-05,20330.0
2024-05-12,21766.0
2024-05-19,20706.0
2024-05-26,21709.0
2024-06-02,23159.0
2024-06-09,21347.0
2024-06-16,21085.0
2024-06-23,21333.0
2024-06-30,24233.0
2024-07-07,21728.0
2024-07-14,23462.0
2024-07-21,23560.0
2024-07-28,24518.0
2024-08-04,27289.0
2024-08-11,25979.0
2024-08-18,24310.0
2024-08-25,25732.0
2024-09-01,24059.0
2024-09-08,23896.0
2024-09-15,23156.0
2024-09-22,22696.0
2024-09-29,22420.0
2024-10-06,23765.0
2024-10-13,22323.0
2024-10-20,20611.0
2024-10-27,20032.0
2024-11-03,18426.0
2024-11-10,17406.0
2024-11-17,14630.0
2024-11-24,15044.0
2024-12-01,16152.0
2024-12-08,16132.0
2024-12-15,14943.0
2024-12-22,19019.0
2024-12-29,16788.0
