date,media NO2
2020-01-07,38.0
2020-01-14,45.0
2020-01-21,41.0
2020-01-28,48.0
2020-02-04,34.0
2020-02-11,34.0
2020-02-18,31.0
2020-02-25,35.0
2020-03-03,26.0
2020-03-10,23.0
2020-03-17,22.0
2020-03-24,17.0
2020-03-31,13.0
2020-04-07,16.0
2020-04-14,14.0
2020-04-21,12.0
2020-04-28,12.0
2020-05-05,11.0
2020-05-12,13.0
2020-05-19,10.0
2020-05-26,11.0
2020-06-02,11.0
2020-06-09,12.0
2020-06-16,10.0
2020-06-23,12.0
2020-06-30,13.0
2020-07-07,13.0
2020-07-14,13.0
2020-07-21,14.0
2020-07-28,16.0
2020-08-04,15.0
2020-08-11,16.0
2020-08-18,14.0
2020-08-25,16.0
2020-09-01,17.0
2020-09-08,17.0
2020-09-15,19.0
2020-09-22,21.0
2020-09-29,16.0
2020-10-06,19.0
2020-10-13,17.0
2020-10-20,24.0
2020-10-27,25.0
2020-11-03,24.0
2020-11-10,25.0
2020-11-17,28.0
2020-11-24,28.0
2020-12-01,39.0
2020-12-08,37.0
2020-12-15,32.0
2020-12-22,34.0
2020-12-29,22.0
2021-01-07,27.0
2021-01-14,34.0
2021-01-21,37.0
2021-01-28,29.0
2021-02-04,31.0
2021-02-11,28.0
2021-02-18,27.0
2021-02-25,33.0
2021-03-04,31.0
2021-03-11,27.0
2021-03-18,17.0
2021-03-25,19.0
2021-04-01,26.0
2021-04-08,14.0
2021-04-15,18.0
2021-04-22,19.0
2021-04-29,21.0
2021-05-06,17.0
2021-05-13,15.0
2021-05-20,11.0
2021-05-27,13.0
2021-06-03,15.0
2021-06-10,12.0
2021-06-17,14.0
2021-06-24,14.0
2021-07-01,12.0
2021-07-08,14.0
2021-07-15,13.0
2021-07-22,14.0
2021-07-29,16.0
2021-08-05,14.0
2021-08-12,14.0
2021-08-19,15.0
2021-08-26,15.0
2021-09-02,16.0
2021-09-09,19.0
2021-09-16,23.0
2021-09-23,16.0
2021-09-30,18.0
2021-10-07,18.0
2021-10-14,21.0
2021-10-21,26.0
2021-10-28,25.0
2021-11-04,26.0
2021-11-11,28.0
2021-11-18,26.0
2021-11-25,26.0
2021-12-02,27.0
2021-12-09,32.0
2021-12-16,36.0
2021-12-23,42.0
2021-12-30,31.0
2022-01-07,26.0
2022-01-14,34.0
2022-01-21,35.0
2022-01-28,39.0
2022-02-04,24.0
2022-02-11,35.0
2022-02-18,34.0
2022-02-25,29.0
2022-03-04,26.0
2022-03-11,34.0
2022-03-18,27.0
2022-03-25,29.0
2022-04-01,30.0
2022-04-08,19.0
2022-04-15,24.0
2022-04-22,21.0
2022-04-29,18.0
2022-05-06,16.0
2022-05-13,14.0
2022-05-20,14.0
2022-05-27,13.0
2022-06-03,12.0
2022-06-10,13.0
2022-06-17,14.0
2022-06-24,17.0
2022-07-01,12.0
2022-07-08,12.0
2022-07-15,15.0
2022-07-22,18.0
2022-07-29,17.0
2022-08-05,16.0
2022-08-12,15.0
2022-08-19,14.0
2022-08-26,17.0
2022-09-02,16.0
2022-09-09,15.0
2022-09-16,17.0
2022-09-23,15.0
2022-09-30,18.0
2022-10-07,19.0
2022-10-14,19.0
2022-10-21,21.0
2022-10-28,19.0
2022-11-04,21.0
2022-11-11,23.0
2022-11-18,23.0
2022-11-25,25.0
2022-12-02,31.0
2022-12-09,28.0
2022-12-16,32.0
2022-12-23,35.0
2022-12-30,28.0
2023-01-07,23.0
2023-01-14,30.0
2023-01-21,27.0
2023-01-28,29.0
2023-02-04,31.0
2023-02-11,24.0
2023-02-18,41.0
2023-02-25,32.0
2023-03-04,21.0
2023-03-11,26.0
2023-03-18,18.0
2023-03-25,25.0
2023-04-01,19.0
2023-04-08,20.0
2023-04-15,16.0
2023-04-22,17.0
2023-04-29,18.0
2023-05-06,14.0
2023-05-13,13.0
2023-05-20,12.0
2023-05-27,12.0
2023-06-03,11.0
2023-06-10,9.0
2023-06-17,11.0
2023-06-24,12.0
2023-07-01,12.0
2023-07-08,11.0
2023-07-15,14.0
2023-07-22,14.0
2023-07-29,13.0
2023-08-05,11.0
2023-08-12,11.0
2023-08-19,11.0
2023-08-26,16.0
2023-09-02,12.0
2023-09-09,17.0
2023-09-16,16.0
2023-09-23,14.0
2023-09-30,16.0
2023-10-07,19.0
2023-10-14,21.0
2023-10-21,18.0
2023-10-28,18.0
2023-11-04,17.0
2023-11-11,22.0
2023-11-18,22.0
2023-11-25,26.0
2023-12-02,26.0
2023-12-09,27.0
2023-12-16,24.0
2023-12-23,31.0
2023-12-30,28.0
2024-01-07,25.0
2024-01-14,25.0
2024-01-21,30.0
2024-01-28,40.0
2024-02-04,38.0
2024-02-11,29.0
2024-02-18,29.0
2024-02-25,24.0
2024-03-03,22.0
2024-03-10,19.0
2024-03-17,20.0
2024-03-24,20.0
2024-03-31,22.0
2024-04-07,18.0
2024-04-14,18.0
2024-04-21,12.0
2024-04-28,14.0
2024-05-05,13.0
2024-05-12,13.0
2024-05-19,13.0
2024-05-26,12.0
2024-06-02,12.0
2024-06-09,12.0
2024-06-16,11.0
2024-06-23,11.0
2024-06-30,11.0
2024-07-07,11.0
2024-07-14,11.0
2024-07-21,13.0
2024-07-28,13.0
2024-08-04,12.0
2024-08-11,14.0
2024-08-18,12.0
2024-08-25,15.0
2024-09-01,16.0
2024-09-08,15.0
2024-09-15,10.0
2024-09-22,15.0
2024-09-29,15.0
2024-10-06,15.0
2024-10-13,18.0
2024-10-20,17.0
2024-10-27,15.0
2024-11-03,16.0
2024-11-10,24.0
2024-11-17,28.0
2024-11-24,25.0
2024-12-01,27.0
2024-12-08,32.0
2024-12-15,32.0
2024-12-22,29.0
2024-12-29,25.0
