card_name|ops_value|war|side|is_scoring|is_optional
Asia Scoring|0|Early|Neutral|TRUE|FALSE
Europe Scoring|0|Early|Neutral|TRUE|FALSE
Mideast Scoring|0|Early|Neutral|TRUE|FALSE
Duck and Cover|3|Early|US|FALSE|FALSE
Five Year Plan|3|Early|US|FALSE|FALSE
The China Card|4|Early|Neutral|FALSE|FALSE
Socialist Governments|3|Early|USSR|FALSE|FALSE
Fidel*|2|Early|USSR|FALSE|FALSE
Vietnam Revolts*|2|Early|USSR|FALSE|FALSE
Blockade*|1|Early|USSR|FALSE|FALSE
Korean War*|2|Early|USSR|FALSE|FALSE
Romanian Abdication*|1|Early|USSR|FALSE|FALSE
Arab-Israeli War|2|Early|USSR|FALSE|FALSE
COMECON*|3|Early|USSR|FALSE|FALSE
Nasser*|1|Early|USSR|FALSE|FALSE
Warsaw Pact Formed*|3|Early|USSR|FALSE|FALSE
De Gaulle Leads France*|3|Early|USSR|FALSE|FALSE
Captured Nazi Scientist*|1|Early|Neutral|FALSE|FALSE
Truman Doctrine*|1|Early|US|FALSE|FALSE
Olympic Games|2|Early|Neutral|FALSE|FALSE
NATO*|4|Early|US|FALSE|FALSE
Independent Reds*|2|Early|US|FALSE|FALSE
Marshall Plan*|4|Early|US|FALSE|FALSE
Indo-Pakistani War|2|Early|Neutral|FALSE|FALSE
Containment*|3|Early|US|FALSE|FALSE
CIA Created*|1|Early|US|FALSE|FALSE
US/Japan Mutual Defense Pact*|4|Early|US|FALSE|FALSE
Suez Crisis*|3|Early|USSR|FALSE|FALSE
East European Unrest|3|Early|US|FALSE|FALSE
Decolonization|2|Early|USSR|FALSE|FALSE
Red Scare/Purge|4|Early|Neutral|FALSE|FALSE
UN Intervention|1|Early|Neutral|FALSE|FALSE
De-Stalinization*|3|Early|USSR|FALSE|FALSE
Nuclear Test Ban|4|Early|Neutral|FALSE|FALSE
Formosan Resolution*|2|Early|US|FALSE|FALSE
Defectors|2|Early|US|FALSE|FALSE
Brush War|3|Mid|Neutral|FALSE|FALSE
Central America Scoring|0|Mid|Neutral|TRUE|FALSE
Southeast Asia Scoring*|0|Mid|Neutral|TRUE|FALSE
Arms Race|3|Mid|Neutral|FALSE|FALSE
Cuban Missile Crisis*|3|Mid|Neutral|FALSE|FALSE
Nuclear Subs*|2|Mid|US|FALSE|FALSE
Quagmire*|3|Mid|USSR|FALSE|FALSE
SALT Negotiations*|3|Mid|Neutral|FALSE|FALSE
Bear Trap*|3|Mid|US|FALSE|FALSE
Summit|1|Mid|Neutral|FALSE|FALSE
How I Learned To Stop Worrying*|2|Mid|Neutral|FALSE|FALSE
Junta|2|Mid|Neutral|FALSE|FALSE
Kitchen Debates*|1|Mid|US|FALSE|FALSE
Missile Envy|2|Mid|Neutral|FALSE|FALSE
\"We Will Bury You\"*|4|Mid|USSR|FALSE|FALSE
Brezhnev Doctrine*|3|Mid|USSR|FALSE|FALSE
Portuguese Empire Crumbles*|2|Mid|USSR|FALSE|FALSE
South African Unrest|2|Mid|USSR|FALSE|FALSE
Allende*|1|Mid|USSR|FALSE|FALSE
Willy Brandt*|2|Mid|USSR|FALSE|FALSE
Muslim Revolution|4|Mid|USSR|FALSE|FALSE
ABM Treaty|4|Mid|Neutral|FALSE|FALSE
Cultural Revolution*|3|Mid|USSR|FALSE|FALSE
Flower Power*|4|Mid|USSR|FALSE|FALSE
U2 Incident*|3|Mid|USSR|FALSE|FALSE
OPEC|3|Mid|USSR|FALSE|FALSE
\"Lone Gunman\"*|1|Mid|USSR|FALSE|FALSE
Colonial Rear Guards|2|Mid|US|FALSE|FALSE
Panama Canal Returned*|1|Mid|US|FALSE|FALSE
Camp David Accords*|2|Mid|US|FALSE|FALSE
Puppet Governments*|2|Mid|US|FALSE|FALSE
Grain Sales To Soviets|2|Mid|US|FALSE|FALSE
John Paul II Elected Pope*|2|Mid|US|FALSE|FALSE
Latin American Death Squads|2|Mid|Neutral|FALSE|FALSE
OAS Founded*|1|Mid|US|FALSE|FALSE
Nixon Plays The China Card*|2|Mid|US|FALSE|FALSE
Sadat Expels Soviets*|1|Mid|US|FALSE|FALSE
Shuttle Diplomacy|3|Mid|US|FALSE|FALSE
The Voice of America|2|Mid|US|FALSE|FALSE
Liberation Theology|2|Mid|USSR|FALSE|FALSE
Ussuri River Skirmish*|3|Mid|US|FALSE|FALSE
\"Ask Not What Your Country...\"*|3|Mid|US|FALSE|FALSE
Alliance For Progress*|3|Mid|US|FALSE|FALSE
Africa Scoring|0|Mid|Neutral|TRUE|FALSE
\"One Small Step...\"|2|Mid|Neutral|FALSE|FALSE
South America Scoring|0|Mid|Neutral|TRUE|FALSE
Iranian Hostage Crisis*|3|Late|USSR|FALSE|FALSE
The Iron Lady*|3|Late|US|FALSE|FALSE
Reagan Bombs Libya*|2|Late|US|FALSE|FALSE
Star Wars*|2|Late|US|FALSE|FALSE
North Sea Oil*|3|Late|US|FALSE|FALSE
The Reformer*|3|Late|USSR|FALSE|FALSE
Marine Barracks Bombing*|2|Late|USSR|FALSE|FALSE
Soviets Shoot Down KAL-007*|4|Late|US|FALSE|FALSE
Glasnost*|4|Late|USSR|FALSE|FALSE
Ortega Elected in Nicaragua*|2|Late|USSR|FALSE|FALSE
Terrorism|2|Late|Neutral|FALSE|FALSE
Iran-Contra Scandal*|2|Late|USSR|FALSE|FALSE
Chernobyl*|3|Late|US|FALSE|FALSE
Latin American Debt Crisis|2|Late|USSR|FALSE|FALSE
Tear Down This Wall*|3|Late|US|FALSE|FALSE
\"An Evil Empire\"*|3|Late|US|FALSE|FALSE
Aldrich Ames Remix*|3|Late|USSR|FALSE|FALSE
Pershing II Deployed*|3|Late|USSR|FALSE|FALSE
Wargames*|4|Late|Neutral|FALSE|FALSE
Solidarity*|2|Late|US|FALSE|FALSE
Iran-Iraq War*|2|Late|Neutral|FALSE|FALSE
The Cambridge Five|2|Early|USSR|FALSE|TRUE
Special Relationship|2|Early|US|FALSE|TRUE
NORAD*|3|Early|US|FALSE|TRUE
Che|3|Mid|USSR|FALSE|TRUE
Our Man in Tehran*|2|Mid|US|FALSE|TRUE
Yuri and Samantha*|2|Late|USSR|FALSE|TRUE
AWACS Sale To Saudis*|3|Late|US|FALSE|TRUE